Period,Repo rate,Corp Mortgage Flex rate balance,Corp Mortgage Fixed rate balance,Corp flex%,Corp fix%,Corp Mortgage Flex rate,Corp Mortgage Fix rate,HH Mortgage Flex rate balance,HH Mortgage Fix rate Balance,HH flex%,HH fix%,HH Mortgage Flex rate,HH Mortgage Fix rate,HH New Mortgage Flex balance,HH New Mortgage Fix balance,HH new flex%,HH New Mortgage Flex rate,HH New Mortgage Fix rate
10-Jun,6.5,187450.5584,23378.14937,88.91130642,11.08869358,9.24,11.94,711836.385,11020.65604,98.4754031,1.5245969,8.73,12.09,None,None,None,None,None
10-Jul,6.5,187361.9268,25380.35975,88.06990366,11.93009634,8.13,11.42,716660.1282,10842.45787,98.50963308,1.490366918,8.75,12.05,None,None,None,None,None
10-Aug,6.5,187208.4536,27093.57326,87.35729491,12.64270509,9.26,11.43,712311.4841,10590.53308,98.53499744,1.465002564,8.76,12.05,None,None,None,None,None
10-Sep,6,181871.3056,28268.503,86.54776399,13.45223601,8.88,11.59,626230.0534,10324.78623,98.37802094,1.621979063,8.43,12.06,None,None,None,None,None
10-Oct,6,184554.1343,29476.633,86.22785249,13.77214751,8.88,11.58,642207.0045,12949.56761,98.02343926,1.976560744,8.33,12.2,None,None,None,None,None
10-Nov,5.5,184925.2186,28868.067,86.49720597,13.50279403,8.35,11.57,641655.1189,12403.75941,98.10357143,1.896428567,8,12.2,None,None,None,None,None
10-Dec,5.5,185641.2513,28891.697,86.53274603,13.46725397,8.37,10.9,644553.0168,10356.93036,98.41857184,1.581428164,8.02,12.42,None,None,None,None,None
11-Jan,5.5,191020.3683,33742.8901,84.98736389,15.01263611,8.31,10.71,734516.2144,10531.29515,98.58649348,1.413506523,7.96,12.33,None,None,None,None,None
11-Feb,5.5,191354.0826,34357.98913,84.77795677,15.22204323,8.35,10.74,735913.8917,10760.46647,98.55888094,1.441119057,7.9,12.18,None,None,None,None,None
11-Mar,5.5,194060.9801,32452.37122,85.67308681,14.32691319,8.38,10.74,751735.3092,10871.87722,98.57438044,1.42561956,7.92,12.16,None,None,None,None,None
11-Apr,5.5,230268.7466,37553.49642,85.97820106,14.02179894,8.44,11.2,777523.2154,11838.83248,98.50020247,1.499797527,7.89,12.04,None,None,None,None,None
11-May,5.5,194173.6621,36368.80998,84.22468119,15.77531881,8.43,10.61,752993.4032,11007.04321,98.55928838,1.44071162,7.93,12.12,None,None,None,None,None
11-Jun,5.5,194064.8277,39680.0915,83.0241908,16.9758092,8.48,10.49,754354.6612,10842.37538,98.58306098,1.416939019,7.94,12.13,None,None,None,None,None
11-Jul,5.5,193229.3134,40143.8388,82.79843314,17.20156686,8.5,10.52,755044.2128,10565.39123,98.62000278,1.379997217,7.93,12.07,None,None,None,None,None
11-Aug,5.5,194432.5129,38592.86113,83.43834388,16.56165612,8.51,10.46,754838.6911,10542.19756,98.62262075,1.377379252,7.95,11.85,None,None,None,None,None
11-Sep,5.5,193962.2183,40324.89514,82.7882573,17.2117427,8.5,10.54,755664.7444,11096.27845,98.55283744,1.44716256,7.95,12.05,None,None,None,None,None
11-Oct,5.5,193692.2787,41086.89114,82.49977152,17.50022848,8.46,10.46,756074.1451,11261.85263,98.53234402,1.467655976,7.96,11.51,None,None,None,None,None
11-Nov,5.5,195406.0995,41981.73156,82.31512906,17.68487094,8.47,10.42,757946.0233,11909.20103,98.45305966,1.546940341,8.57,11.33,0,0,DivZero,0,0
11-Dec,5.5,193884.9773,41950.40882,82.21199561,17.78800439,8.47,10.41,756123.5249,11962.17516,98.4425989,1.557401102,7.98,11.33,None,None,None,None,None
12-Jan,5.5,197068.2255,41241.81324,82.69405122,17.30594878,8.05,10.24,754958.7498,12789.12498,98.33420249,1.66579751,7.94,10.49,None,None,None,None,None
12-Feb,5.5,196939.1576,40682.41146,82.87932715,17.12067285,8.07,10.3,712858.1739,13113.04338,98.19372407,1.806275934,7.91,10.6,None,None,None,None,None
12-Mar,5.5,196629.5531,39542.51822,83.25690332,16.74309668,8.37,10.3,711564.4505,13065.49212,98.19694283,1.803057168,7.91,10.45,None,None,None,None,None
12-Apr,5.5,197366.1483,39684.40805,83.25909517,16.74090483,8.11,10.26,711086.9797,13166.52483,98.18205577,1.817944235,7.93,10.46,None,None,None,None,None
12-May,5.5,198088.875,42111.80755,82.46807332,17.53192668,8.1,10.27,711761.5102,13401.02699,98.15199679,1.848003213,7.95,10.34,None,None,None,None,None
12-Jun,5.5,198874.9161,42497.01644,82.39355504,17.60644496,8.08,10.23,712657.2637,13268.73677,98.172164,1.827836,7.97,10.36,None,None,None,None,None
12-Jul,5,198863.2752,42212.57798,82.48991866,17.51008134,7.64,10.06,713531.478,13205.64589,98.18288547,1.817114533,7.59,10.48,None,None,None,None,None
12-Aug,5,198859.9281,43116.8205,82.18142002,17.81857998,7.66,9.95,716005.4934,13429.63078,98.1588999,1.841100097,7.53,10.56,None,None,None,None,None
12-Sep,5,199698.0558,43028.3745,82.2728928,17.7271072,7.66,9.8,717660.1297,13374.02245,98.17053384,1.829466162,7.54,10.57,None,None,None,None,None
12-Oct,5,200398.7031,43343.53082,82.21747207,17.78252793,7.66,9.77,719376.9091,13445.76896,98.1652084,1.834791602,7.65,10.63,None,None,None,None,None
12-Nov,5,203801.1067,44413.06445,82.10695858,17.89304142,7.68,9.79,719820.9691,12338.85237,98.31473238,1.685267617,7.57,10.52,None,None,None,None,None
12-Dec,5,205178.2213,45303.96105,81.91329993,18.08670007,7.68,9.42,720064.5431,12326.43723,98.31695944,1.683040557,7.59,10.11,None,None,None,None,None
13-Jan,5,198507.6845,49831.22429,79.93418569,20.06581431,7.59,9.79,719435.2387,14403.67766,98.03721534,1.962784657,7.59,10.49,None,None,None,None,None
13-Feb,5,199611.4445,48592.64465,80.42230295,19.57769705,7.59,9.7,722378.94,14627.636,98.01526384,1.984736158,7.61,10.54,None,None,None,None,None
13-Mar,5,197819.825,50154.81523,79.77421595,20.22578405,7.58,9.69,720716.9948,15405.32201,97.9072334,2.092766604,7.62,10.49,None,None,None,None,None
13-Apr,5,195553.8097,49732.61406,79.72467726,20.27532274,7.42,9.3,721140.8805,15631.29035,97.87840923,2.121590767,7.63,10.45,None,None,None,None,None
13-May,5,198561.0745,50948.15345,79.58065364,20.41934636,7.41,9.21,724212.3383,15723.2885,97.87504643,2.124953568,7.64,10.43,None,None,None,None,None
13-Jun,5,198697.1361,51263.52493,79.49136287,20.50863713,7.43,9.23,728298.9903,15898.21365,97.86370957,2.13629043,7.63,10.44,None,None,None,None,None
13-Jul,5,198106.3358,51401.48342,79.39884867,20.60115133,7.36,9.14,729319.5873,16013.05119,97.85155642,2.148443575,7.67,10.35,None,None,None,None,None
13-Aug,5,199369.4806,50956.648,79.64389563,20.35610437,7.36,9.15,730721.3674,16570.07599,97.78264877,2.217351227,7.68,10.38,None,None,None,None,None
13-Sep,5,201630.3544,51931.05539,79.51933796,20.48066204,7.33,8.91,760549.9943,15738.92377,97.97254303,2.027456969,7.69,10.3,None,None,None,None,None
13-Oct,5,202716.4955,51961.31784,79.59723419,20.40276581,7.36,9,735349.3542,15707.92079,97.90855887,2.091441134,7.71,10.3,None,None,None,None,None
13-Nov,5,203285.5712,51292.77221,79.85187133,20.14812867,7.34,8.94,736067.265,15384.99193,97.95263215,2.047367851,7.74,10.33,None,None,None,None,None
13-Dec,5,203224.4251,51943.79804,79.6433124,20.3566876,7.32,8.84,736953.1069,15432.76092,97.94882366,2.051176342,7.71,10.29,None,None,None,None,None
14-Jan,5.5,202875.7925,51346.03093,79.80266594,20.19733406,7.64,8.89,738362.2582,15285.48009,97.97180044,2.028199557,7.98,10.31,2438.812,0.016,99.99934395,8.43,8.5
14-Feb,5.5,205260.5854,51861.99426,79.82985612,20.17014388,7.64,8.5,744346.225,15099.15295,98.01181844,1.988181558,8.17,10.37,2926.237,60.221,97.98353099,8.47,11.49
14-Mar,5.5,209461.4422,52191.08785,80.05328371,19.94671629,7.68,9.05,741895.1802,14675.36662,98.06027783,1.939722169,8.26,10.29,3117.249,0,100,8.5,0
14-Apr,5.5,210223.9829,53968.60086,79.57224987,20.42775013,7.66,9.15,744357.4479,14744.22245,98.05767488,1.942325123,8.24,10.28,2731.657,60.552,97.83139443,8.45,9.3
14-May,5.5,213033.1125,54302.04229,79.68765375,20.31234625,7.68,9.16,744676.5845,14622.61526,98.07419588,1.925804119,8.3,10.29,3213.764,0.02,99.99937768,8.45,10.35
14-Jun,5.5,214074.1294,55629.43404,79.3738602,20.6261398,7.68,9.12,745492.0757,14577.7783,98.08204756,1.917952438,8.3,10.26,3143.916,22.949,99.27534012,8.41,10.79
14-Jul,5.75,215236.595,55941.85345,79.37083357,20.62916643,7.87,9.05,747404.0619,14428.48636,98.10608166,1.893918341,8.51,10.24,3646.697,2.271,99.93776323,8.71,10.17
14-Aug,5.75,218591.757,53697.44346,80.27926067,19.72073933,7.88,9.18,752085.3178,24618.21768,96.83042286,3.169577136,8.58,10.24,3703.341,10593.396,25.9034002,8.66,6
14-Sep,5.75,220334.9321,54057.27628,80.29926703,19.70073297,7.81,9.19,753835.9951,13848.87271,98.19602114,1.803978858,8.58,10.24,3451.284,0,100,8.58,0
14-Oct,5.75,221394.1474,56727.25191,79.60342065,20.39657935,7.8,9.27,759381.0038,13481.11538,98.25568946,1.744310536,8.59,10.23,3438.189,70.788,97.9826599,8.74,10.89
14-Nov,5.75,222961.3562,57394.97125,79.52784881,20.47215119,7.82,9.13,760523.3055,13485.41223,98.2577183,1.742281698,8.6,10.23,3265.971,95.664,97.15424191,8.79,10.6
14-Dec,5.75,226805.1774,58158.00041,79.59104721,20.40895279,7.82,9.08,762101.6713,13257.13354,98.29019372,1.70980628,8.65,10.25,0,0,DivZero,8.79,0
15-Jan,5.75,227048.7879,58088.65315,79.6278409,20.3721591,7.82,9.08,763839.702,13012.66761,98.32494974,1.675050257,8.59,10.27,1977.344,0.004,99.99979771,8.82,10.87
15-Feb,5.75,227594.3175,59569.86562,79.25581631,20.74418369,7.84,9.1,769027.7379,12851.79763,98.35629441,1.643705589,8.64,10.29,3617.648,0.003,99.99991707,8.68,9.25
15-Mar,5.75,233329.5201,59509.21264,79.67850356,20.32149644,7.84,9.1,768960.5544,12739.95655,98.37022538,1.629774622,8.63,10.28,3462.546,0.022,99.99936463,8.86,9.35
15-Apr,5.75,232876.8717,60621.15282,79.34529443,20.65470557,7.84,9.09,772697.7915,12669.22724,98.38683992,1.613160082,8.68,10.32,0,0,DivZero,8.81,11.99
